City,Time,Temperature,Humidity,Pressure,WindSpeed,Weather_Class
Delhi,2026-07-28T00:00,28.5,92,973.7,7.9,Warm
Delhi,2026-07-28T01:00,28.5,93,974.4,8.0,Warm
Delhi,2026-07-28T02:00,28.8,93,974.7,7.9,Warm
Delhi,2026-07-28T03:00,28.3,88,975.2,12.0,Warm
Delhi,2026-07-28T04:00,28.1,90,976.0,10.5,Warm
Delhi,2026-07-28T05:00,27.2,94,976.9,9.4,Warm
Delhi,2026-07-28T06:00,28.1,90,976.4,9.3,Warm
Delhi,2026-07-28T07:00,31.1,75,975.9,4.3,Warm
Delhi,2026-07-28T08:00,32.1,73,974.9,3.0,Warm
Delhi,2026-07-28T09:00,33.1,68,974.2,1.3,Warm
Delhi,2026-07-28T10:00,33.3,66,973.1,1.3,Warm
Delhi,2026-07-28T11:00,33.3,66,972.4,0.8,Warm
Delhi,2026-07-28T12:00,32.9,66,972.0,1.3,Warm
Delhi,2026-07-28T13:00,32.3,72,972.3,2.8,Warm
Delhi,2026-07-28T14:00,31.0,79,973.2,5.2,Warm
Delhi,2026-07-28T15:00,29.8,84,974.2,2.9,Warm
Delhi,2026-07-28T16:00,29.2,88,974.8,5.2,Warm
Delhi,2026-07-28T17:00,29.0,90,974.9,4.5,Warm
Delhi,2026-07-28T18:00,28.7,91,975.0,4.9,Warm
Delhi,2026-07-28T19:00,28.5,92,974.7,4.2,Warm
Delhi,2026-07-28T20:00,28.4,94,974.4,2.4,Warm
Delhi,2026-07-28T21:00,26.3,97,974.8,9.8,Warm
Delhi,2026-07-28T22:00,26.1,98,974.5,8.5,Warm
Delhi,2026-07-28T23:00,26.3,98,974.3,8.6,Warm
Delhi,2026-07-29T00:00,26.2,98,974.9,7.7,Warm
Delhi,2026-07-29T01:00,26.0,97,975.3,7.3,Warm
Delhi,2026-07-29T02:00,26.3,95,976.2,4.5,Warm
Delhi,2026-07-29T03:00,27.0,92,976.8,4.2,Warm
Delhi,2026-07-29T04:00,27.5,90,977.1,3.6,Warm
Delhi,2026-07-29T05:00,29.4,82,977.3,1.9,Warm
Delhi,2026-07-29T06:00,30.1,80,976.9,1.9,Warm
Delhi,2026-07-29T07:00,31.0,78,976.1,1.8,Warm
Delhi,2026-07-29T08:00,31.1,78,975.6,1.2,Warm
Delhi,2026-07-29T09:00,31.4,76,974.4,1.1,Warm
Delhi,2026-07-29T10:00,31.8,74,973.2,1.5,Warm
Delhi,2026-07-29T11:00,32.0,73,972.9,1.3,Warm
Delhi,2026-07-29T12:00,31.9,72,972.6,2.6,Warm
Delhi,2026-07-29T13:00,31.4,76,972.5,2.8,Warm
Delhi,2026-07-29T14:00,30.9,81,973.7,0.5,Warm
Delhi,2026-07-29T15:00,30.5,83,974.6,2.9,Warm
Delhi,2026-07-29T16:00,29.8,86,975.1,6.0,Warm
Delhi,2026-07-29T17:00,29.2,88,975.4,5.7,Warm
Delhi,2026-07-29T18:00,28.7,90,975.2,6.5,Warm
Delhi,2026-07-29T19:00,28.4,92,974.9,6.6,Warm
Delhi,2026-07-29T20:00,28.2,93,974.2,6.7,Warm
Delhi,2026-07-29T21:00,28.0,95,973.6,6.4,Warm
Delhi,2026-07-29T22:00,27.8,95,973.3,6.7,Warm
Delhi,2026-07-29T23:00,26.8,95,973.3,7.5,Warm
Delhi,2026-07-30T00:00,25.6,99,973.7,8.5,Warm
Delhi,2026-07-30T01:00,25.8,97,974.8,6.3,Warm
Delhi,2026-07-30T02:00,26.6,95,975.4,4.6,Warm
Delhi,2026-07-30T03:00,27.3,91,975.7,5.9,Warm
Delhi,2026-07-30T04:00,28.3,87,976.4,6.6,Warm
Delhi,2026-07-30T05:00,29.7,80,976.1,3.3,Warm
Delhi,2026-07-30T06:00,30.9,77,975.8,2.0,Warm
Delhi,2026-07-30T07:00,31.5,76,975.1,4.1,Warm
Delhi,2026-07-30T08:00,32.1,74,974.3,1.5,Warm
Delhi,2026-07-30T09:00,32.3,74,973.4,3.4,Warm
Delhi,2026-07-30T10:00,28.2,90,973.3,10.1,Warm
Delhi,2026-07-30T11:00,28.1,92,972.9,8.1,Warm
Delhi,2026-07-30T12:00,28.7,89,972.2,7.7,Warm
Delhi,2026-07-30T13:00,28.7,88,972.5,8.2,Warm
Delhi,2026-07-30T14:00,28.4,90,973.1,6.0,Warm
Delhi,2026-07-30T15:00,28.4,90,974.1,6.3,Warm
Delhi,2026-07-30T16:00,28.1,92,974.8,6.8,Warm
Delhi,2026-07-30T17:00,27.9,93,974.9,7.6,Warm
Delhi,2026-07-30T18:00,27.8,93,974.9,7.4,Warm
Delhi,2026-07-30T19:00,27.7,93,974.7,7.5,Warm
Delhi,2026-07-30T20:00,27.5,94,974.6,6.9,Warm
Delhi,2026-07-30T21:00,27.2,94,974.1,7.6,Warm
Delhi,2026-07-30T22:00,27.1,93,974.0,8.9,Warm
Delhi,2026-07-30T23:00,27.0,92,974.0,9.7,Warm
Delhi,2026-07-31T00:00,26.9,92,974.4,9.0,Warm
Delhi,2026-07-31T01:00,27.1,91,974.8,10.3,Warm
Delhi,2026-07-31T02:00,28.0,87,975.6,11.2,Warm
Delhi,2026-07-31T03:00,28.8,83,976.1,14.0,Warm
Delhi,2026-07-31T04:00,29.8,79,976.5,13.4,Warm
Delhi,2026-07-31T05:00,30.9,75,976.8,12.1,Warm
Delhi,2026-07-31T06:00,31.8,71,976.5,11.6,Warm
Delhi,2026-07-31T07:00,31.7,72,975.5,10.7,Warm
Delhi,2026-07-31T08:00,31.8,72,974.3,9.4,Warm
Delhi,2026-07-31T09:00,32.1,72,973.2,9.3,Warm
Delhi,2026-07-31T10:00,31.9,72,972.3,10.9,Warm
Delhi,2026-07-31T11:00,32.2,70,971.5,11.2,Warm
Delhi,2026-07-31T12:00,31.6,74,971.8,10.7,Warm
Delhi,2026-07-31T13:00,30.8,80,972.3,6.7,Warm
Delhi,2026-07-31T14:00,27.6,93,973.5,11.3,Warm
Delhi,2026-07-31T15:00,27.5,95,974.0,8.3,Warm
Delhi,2026-07-31T16:00,27.8,94,974.9,9.2,Warm
Delhi,2026-07-31T17:00,28.1,92,975.1,11.4,Warm
Delhi,2026-07-31T18:00,28.1,92,975.5,9.5,Warm
Delhi,2026-07-31T19:00,27.9,92,975.3,9.3,Warm
Delhi,2026-07-31T20:00,27.7,92,974.8,9.0,Warm
Delhi,2026-07-31T21:00,27.3,93,974.5,8.9,Warm
Delhi,2026-07-31T22:00,26.8,94,974.5,9.0,Warm
Delhi,2026-07-31T23:00,26.2,95,974.8,9.4,Warm
Delhi,2026-08-01T00:00,26.0,95,975.0,9.7,Warm
Delhi,2026-08-01T01:00,26.2,94,975.4,9.7,Warm
Delhi,2026-08-01T02:00,26.8,92,976.1,9.6,Warm
Delhi,2026-08-01T03:00,27.5,89,976.4,9.8,Warm
Delhi,2026-08-01T04:00,28.4,85,976.6,9.7,Warm
Delhi,2026-08-01T05:00,29.4,81,976.7,9.6,Warm
Delhi,2026-08-01T06:00,30.1,79,976.4,9.4,Warm
Delhi,2026-08-01T07:00,30.5,78,975.6,8.9,Warm
Delhi,2026-08-01T08:00,30.6,78,974.5,8.3,Warm
Delhi,2026-08-01T09:00,30.7,78,973.5,8.0,Warm
Delhi,2026-08-01T10:00,30.7,79,972.9,8.1,Warm
Delhi,2026-08-01T11:00,30.7,79,972.3,9.1,Warm
Delhi,2026-08-01T12:00,30.5,80,972.2,9.2,Warm
Delhi,2026-08-01T13:00,29.9,83,972.7,7.6,Warm
Delhi,2026-08-01T14:00,29.2,85,973.7,5.8,Warm
Delhi,2026-08-01T15:00,28.5,88,974.5,5.4,Warm
Delhi,2026-08-01T16:00,28.1,90,974.7,5.6,Warm
Delhi,2026-08-01T17:00,27.8,91,974.7,6.6,Warm
Delhi,2026-08-01T18:00,27.6,93,974.7,7.7,Warm
Delhi,2026-08-01T19:00,27.5,93,974.5,7.7,Warm
